Name,Current price,Change(%),Open,High,Low,Volume,date
1-800-FLOWERS.COM INC.,5.69,-1.22%,5.74,5.82,5.68,"41,365",3/20/2025
10X GENOMICS INC.,10.2,-0.87%,10.18,10.33,10.05,"206,287",3/20/2025
111 INC. ADS,10.48,-4.73%,11.3,11.35,9.88,"19,331",3/20/2025
17 EDUCATION & TECHNOLOGY GROUP,1.98,0.00%,2.04,2.04,1.98,"1,808",3/20/2025
180 LIFE SCIENCES,1.06,-1.85%,1.08,1.08,1.06,"3,042",3/20/2025
1ST SOURCE CORP.,62.88,0.96%,62.04,62.97,61.68,"5,241",3/20/2025
1STDIBS.COM INC.,3,2.04%,2.93,3.01,2.93,"3,682",3/20/2025
22ND CENTURY GROUP INC,1.86,-2.11%,1.95,1.95,1.83,"8,202",3/20/2025
23ANDME HOLDING CO.,1.78,-3.26%,1.8,1.85,1.78,"21,592",3/20/2025
2SEVENTY BIO INC.,4.95,-0.20%,4.95,4.96,4.95,"230,554",3/20/2025
3 E NETWORK TECHNOLOGY GROUP LTD,3.8,0.80%,3.84,3.94,3.71,"15,728",3/20/2025
36KR HOLDINGS INC. ADS,3.82,-3.78%,3.66,3.82,3.66,878,3/20/2025
374WATER INC.,0.3457,0.73%,0.35,0.36,0.3404,"37,363",3/20/2025
4D MOLECULAR THERAPEUTICS INC.,3.77,-0.53%,3.74,3.85,3.73,"87,902",3/20/2025
5E ADVANCED MATERIALS INC.,3.98,-0.75%,4.01,4.04,3.97,"3,423",3/20/2025
60 DEGREES PHARMACEUTICALS,2.01,1.01%,2.12,2.12,2,"15,930",3/20/2025
89BIO INC.,8.88,1.02%,8.64,9,8.58,"74,067",3/20/2025
8X8 INC,2.22,-0.89%,2.21,2.24,2.19,"64,635",3/20/2025
908 DEVICES INC.,4.15,-1.19%,4.17,4.24,4.08,"24,858",3/20/2025
9F INC. ADS,1.51,0.00%,1.46,1.58,1.46,"2,448",3/20/2025
A SPAC III ACQUISITION,0.15,0.00%,0.15,0.15,0.15,185,3/20/2025
A SPAC III ACQUISITION,10.16,0.00%,10.16,10.16,10.15,416,3/20/2025
A-MARK PRECIOUS METALS INC.,29.49,0.44%,29.16,29.89,29.14,"17,036",3/20/2025
A2Z CUST2MATE SOLUTIONS,7.34,-0.14%,7.18,7.38,7.18,"1,910",3/20/2025
AAON INC.,81.74,0.32%,80.39,82.41,80.39,"45,890",3/20/2025
AARDVARK THERAPEUTICS INC.,9.6,0.10%,9.48,9.68,9.31,"2,812",3/20/2025
ABACUS GLOBAL MANAGEMENT,26.28,0.50%,26.28,26.28,26.28,"1,000",3/20/2025
ABACUS GLOBAL MANAGEMENT INC.,7.72,-0.64%,7.52,7.78,7.43,"201,358",3/20/2025
